item_id,item_name,available_stock,stock_on_hand
4138545000000077241,BOX for FIBERGLASS Flat Wire - 3/8,31.0,31.0
4138545000003800001,BOX for FIBERGLASS Flat Wire - 5/16,10.0,10.0
4138545000000077250,BOX for FIBERGLASS Flat Wire - 5/8,75.0,75.0
4138545000000609079,BOX of Bare Aluminum Flat Wire 1/2,38.0,38.0
4138545000001035090,BOX of Bare Aluminum Flat Wire 1/4,62.0,62.0
4138545000000609070,BOX of Bare Aluminum Flat Wire 3/4,29.0,29.0
4138545000001035068,BOX of Bare Aluminum Flat Wire 3/8,46.0,46.0
4138545000000609088,BOX of Bare Aluminum Flat Wire 5/8,106.0,106.0
4138545000002790044,Box of Copper Enameled #10,0.0,0.0
4138545000004283053,Box of Copper Enameled #11,0.0,0.0
4138545000004283062,Box of Copper Enameled #12,0.0,0.0
4138545000008463178,Box of Copper Enameled #13,1.0,1.0
4138545000006048108,Box of Copper Enameled #14,0.0,0.0
4138545000008463196,Box of Copper Enameled #15,14.0,14.0
4138545000009985137,Box of Copper Enameled #16,0.0,0.0
4138545000009985152,Box of Copper Enameled #17,0.0,0.0
4138545000009985167,Box of Copper Enameled #18,0.0,0.0
4138545000009985182,Box of Copper Enameled #19,0.0,0.0
4138545000009985197,Box of Copper Enameled #20,0.0,0.0
4138545000009985212,Box of Copper Enameled #21,0.0,0.0
4138545000009985227,Box of Copper Enameled #22,0.0,0.0
4138545000006048090,Box of Copper Enameled #9,6.0,6.0
4138545000000085078,BOX of DDP 005,21.0,21.0
4138545000000085053,BOX of DDP 007,17.0,17.0
4138545000000085028,BOX of DDP 010,91.0,91.0
4138545000000492348,Box of FDMD,7.0,7.0
4138545000004119171,Box of Mylar,13.0,13.0
4138545000009658073,Braided Copper,,
4138545000008400175,Brass Terminal Lug RNB 14-8,0.0,0.0
4138545000008400164,Brass Terminal Lug RNB 8-6,0.0,0.0
4138545000006586153,Connector 125A,378.0,378.0
4138545000001131010,Connector 208A,464.0,464.0
4138545000001131019,Connector 625A,1067.0,1067.0
4138545000006505011,Connector 800a (Double Eye),907.0,907.0
4138545000002790019,Copper Enameled Wire #10,0.08,0.08
4138545000004283035,Copper Enameled Wire #11,0.0,0.0
4138545000004283044,Copper Enameled Wire #12,0.0,0.0
4138545000000170109,Cotton Tape,3787.0,3787.0
4138545000001780017,Crepe Tape 1 inch,1244.0,1244.0
4138545000000077016,Crepe Tape 1.5 inches,98.0,98.0
4138545000000077034,Crepe Tubing 10 x 14,3000.0,3000.0
4138545000000077043,Crepe Tubing 14 x 16,1181.0,1181.0
4138545000000077052,Crepe Tubing 16 x 20,1629.0,1629.0
4138545000000077061,Crepe Tubing 18 x 20,2136.0,2136.0
4138545000009237176,Crepe Tubing 6 x 10,1000.0,1000.0
4138545000000077025,Crepe Tubing 8 x 12,2462.0,2462.0
4138545000000076998,Diamond Dotted Paper 005,1259.1,1259.1
4138545000000076989,Diamond Dotted Paper 007,1051.6,1051.6
4138545000000076980,Diamond Dotted Paper 010,6048.1,6048.1
4138545000008416001,Distribution Transformer 50KVA 120/240V AMDT 50KVA,,
4138545000003447001,Dog Bone 1/2,420.0,420.0
4138545000002026187,Dog Bone 1/4,386.0,386.0
4138545000000219001,Dog Bone 3/4,35.0,35.0
4138545000002146021,Dog BONE 3/8,407.0,407.0
4138545000002847240,Dog Bone 5/8,532.0,532.0
4138545000003382023,Dogbone 1/2,,
4138545000008463062,Enameled FLAT copper wire - 1/2,0.0,0.0
4138545000008463091,Enameled FLAT copper wire - 3/8,0.0,0.0
4138545000008463080,Enameled FLAT copper wire - 5/8,320.1,320.1
4138545000000076827,Enameled Flat Wire 1/2,1139.51,1139.51
4138545000000076836,Enameled Flat Wire 1/4,1194.4,1194.4
4138545000000076845,Enameled Flat Wire 3/16,966.9,966.9
4138545000000076854,Enameled Flat Wire 3/8,943.2,943.2
4138545000000076863,Enameled Flat Wire 5/8,1364.6,1364.6
4138545000009724212,Enameled ROUND copper wire #10,0.0,0.0
4138545000009660001,Enameled ROUND copper wire #11,0.0,0.0
4138545000009985015,Enameled ROUND copper wire #12,0.0,0.0
4138545000008463123,Enameled ROUND copper wire #13,23.85,23.85
4138545000009660014,Enameled ROUND copper wire #14,0.0,0.0
4138545000008463134,Enameled ROUND copper wire #15,464.8,464.8
4138545000009985030,Enameled ROUND copper wire #16,0.0,0.0
4138545000009985045,Enameled ROUND copper wire #17,0.0,0.0
4138545000009985060,Enameled ROUND copper wire #18,0.0,0.0
4138545000009985075,Enameled ROUND copper wire #19,0.0,0.0
4138545000009985090,Enameled ROUND copper wire #20,0.0,0.0
4138545000009985105,Enameled ROUND copper wire #21,0.0,0.0
4138545000009985120,Enameled ROUND copper wire #22,0.0,0.0
4138545000009724190,Enameled ROUND copper wire #9,0.0,0.0
4138545000000076773,Enameled Round Wire #10,3620.6,3620.6
4138545000000076782,Enameled Round Wire #11,565.5,565.5
4138545000000076791,Enameled Round Wire #12,781.17,781.17
4138545000000076800,Enameled Round Wire #13,1070.62,1070.62
4138545000000076809,Enameled Round Wire #14,902.6,902.6
4138545000000076818,Enameled Round Wire #15,345.6,345.6
4138545000000527039,Enameled Round Wire #16,423.5,423.5
4138545000000527048,Enameled Round Wire #17,463.2,463.2
4138545000000527065,Enameled Round Wire #18,361.6,361.6
4138545000000076737,Enameled Round Wire #6,2509.33,2509.33
4138545000000076746,Enameled Round Wire #7,358.0,358.0
4138545000000076755,Enameled Round Wire #8,563.7,563.7
4138545000000076764,Enameled Round Wire #9,121.6,121.6
4138545000000077007,FDMD,330.3,330.3
4138545000000076872,Fiberglass Coated Flat Wire 1/2,149.8,149.8
4138545000000076881,Fiberglass Coated Flat Wire 1/4,2856.4,2856.4
4138545000000076890,Fiberglass Coated Flat Wire 3/16,1069.36,1069.36
4138545000000076899,Fiberglass Coated Flat Wire 3/4,2421.3,2421.3
4138545000000076908,Fiberglass Coated Flat Wire 3/8,1667.7,1667.7
4138545000003802001,Fiberglass Coated Flat Wire 5/16,560.2,560.2
4138545000000076917,Fiberglass Coated Flat Wire 5/8,3802.2,3802.2
4138545000000076926,Fiberglass Tape,5767.0,5767.0
4138545000004949063,Flat Bar - Aluminum (1/4 x 1),258.0,258.0
4138545000004949054,Flat Bar - Aluminum (1/4 x 1.5),177.0,177.0
